column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Other (inc. Tax),54.07781141383563,90.13147487311797,84.04863321374582,79.99654941879272,82.79240741681983,96.98164637760817,62.440384162119344,56.28090639949017,62.18618693019139,66.42535242830365,71.89907453793373,77.02751133129546,72.07235296584156,87.78062013391329,69.89123857694754,76.80888817126358,79.56719280129812,81.98171281458657,88.22967150741424,88.09424741418225,101.21285682881638
Maintenance,551.6376275367194,587.9049759083636,695.7529922002524,736.8371110008842,787.6468861850335,757.1983683538621,807.8806500498199,710.4095576906012,593.6179437638987,552.95872652931,613.9128825468341,720.6461473595447,833.3277784168919,750.2757770039302,712.1313204971065,913.3642236677791,1103.0037919873657,961.4158024762855,993.0795053079377,1075.8312284955528,774.1600508746035
Labor,125.01222110102029,122.83894131394466,125.75725600485815,129.10694645129288,134.48929433966595,133.36773871932076,126.63871759897825,158.23874865887402,96.22035696517662,74.30478140234464,67.4690670606342,67.85495941815115,68.02335645253719,73.63097896985589,109.86765550090765,161.19932940204447,60.0356464167021,112.16596667136109,110.53475736879685,94.79193433208074,109.00160160788873
Materials,85.3449938333894,100.32923342886085,123.96818081977027,147.9928400439949,161.66703010767145,140.5832831366208,131.0957061280614,82.06884312254464,66.00938666965037,70.07260317418115,68.60395733152941,74.04237377463897,101.1475023841343,87.21662505820642,52.300125672971,45.32910659656078,82.96345981968535,99.99118150696201,82.67079625503855,91.9348151995205,57.30113368715258
Third Party,30.730799416974996,29.318992844613533,64.95281820256947,95.65787487329897,126.11676129795987,125.13361379581416,167.11324477784405,123.11334833781048,156.98895298073714,200.39748481182616,279.2702240743518,352.1503109518288,424.52212487380484,380.7855408724625,369.58714101748564,520.9824844073951,734.1067309945073,504.0690106308908,577.76339719457,653.4610326965726,366.3277486417737
Total Direct,241.0736629667003,252.48716758741904,314.6782550271979,369.7297763592055,420.3465751560474,392.7207044263115,416.5990914142132,362.04149625291416,316.95694479687194,338.93319102630085,412.66928957145393,493.8663434173079,593.5661165865863,538.019310907025,531.7549221913642,727.5109032287985,877.1056983938287,716.2208940372509,769.5611561130356,840.1877520332506,532.3361806362466
Burden,310.56396457001904,335.41780832094446,381.0747371730545,367.10733464167873,367.3003110289862,364.47766392755057,391.2815586356067,348.36806143768706,276.6609989670268,214.02553550300914,201.2435929753802,226.77980394223675,239.76166183030554,212.25646609690526,180.37639830574216,185.8533376161823,225.89809359353717,245.1949084390346,223.518349194902,235.64356704707242,241.8239644505857
Aircraft Ownership,445.1772620248907,410.76043570334207,387.460107585696,396.06202419720074,407.670135478783,444.1410450396328,485.12763001038945,511.78174132604084,398.8865068122286,358.0715244767463,314.76559250951146,366.16422472857596,390.63140047327886,413.9830493412751,435.3932322777838,379.1752366588969,229.32733441510547,294.62848478546715,279.5660927311518,292.57384545936293,290.6123480827811
Rentals,329.5535373920843,287.57014891978747,282.4387239595671,272.87196187107764,257.115382408253,251.76114566739793,268.1817137537833,333.3040907367521,238.67975232618778,199.08044841908156,145.16171920453445,192.77853905344156,199.2104134255521,218.70804842300578,214.67581028035934,201.9373650516089,200.42553560736877,268.9653538519046,252.76316109544277,268.27256353389305,267.79102157460034
Depreciation and Amortization,115.62372463280637,123.19028678355458,105.02138362612894,123.19006232612305,150.55475307052996,192.37989937223486,216.94591625660613,178.47765058928874,160.20675448604086,158.99107605766474,169.60387330497704,173.3856856751344,191.42098704772675,195.27500091826928,220.71742199742448,177.23787160728796,28.9017988077367,25.663130933562528,26.80293163570906,24.30128192546987,22.82132650818076
