united_airlines_atlantic_operations,column_b,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
T,Sum of RPM,111811692000,116698251000,121427366000,124610307000,125466057000,126933874000,116636188000,109429691047,104394167627,115231631787,114271152651,117471191583,117399282626,110061740027,100475691167,102524042682,99636180304,179397903243,178561165278,178989280895,183624860530
T,Sum of ASM,158569846000,162844728000,169111014000,174008841000,176687558000,175492530000,164850408000,148807350406,136565982751,145387803956,140294029423,143085122051,141896194605,135859304017,122738069889,121911734913,118973275360,216299364563,212977166640,214061328994,219956362061
T,Sum of AC Op Expense (000),6100985,6732873,7117586,6996380,7136248,8271680,8518367,7624870,6420149,7076033,7768190,8645535,9052916,11709349,7077529,8233231.19,9401898.45,17526450,17157930.840000004,16996368.97,13876654.489999998
International Operation Percentages ,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.3505200347759391,0.3337146535914388,0.3410679052847636,0.30305814901752653,0.29007679119495333,0.30986717237836925,0.3224950651600859,0.3347586430581458,0.31210013714359547,0.3519299682741733,0.38479291557332157,0.37784540061962085,0.4098363493671674,0.4218998670194256,0.42366558350343225,0.470447642340064,0.4823056206267489,0.5114350232786206,0.5136803142508914,0.5101485907811263,0.4966889308809147
,Sum of Total Rev (000),0.356416125106002,0.34319649091862603,0.35311558544082455,0.31516602354953277,0.3034293830570231,0.32266166544584735,0.3370922865012918,0.34883437661082695,0.32211078459640435,0.3321477528201881,0.343220015263387,0.3319146477689736,0.35592875169321864,0.3635018951193364,0.3405483189375936,0.37230829495709855,0.38321493927088496,0.4178924618818276,0.4227833301430057,0.42622892623305203,0.42079241793858285
,Sum of RPM,0.378264197987452,0.377818978623767,0.38185613776716526,0.36655652409234496,0.3578739467360483,0.3812027749188526,0.394433638383312,0.3854795551500046,0.35863077666148246,0.36965788600249216,0.40200277239960086,0.3961329221311335,0.40481568079424357,0.4193980943938943,0.42228996228030496,0.44092816381826805,0.4594852109978172,0.4765654315769488,0.47966472541021565,0.48453909666175266,0.4814624990310401
,Sum of ASM,0.3671897429981738,0.36839045228409234,0.37694066455068387,0.367967458618956,0.34995066262673685,0.3730348294596927,0.3883168369228422,0.3658681523557642,0.35030084409252127,0.3574875080287302,0.402023264767342,0.39339443310490996,0.4082441552379642,0.43032335921347353,0.43510983818873145,0.4461467431975664,0.4762354132686963,0.4885561856711833,0.4909933745092854,0.4988686832547565,0.49825821990821184
,Sum of AC Op Expense (000),0.32901129899516224,0.32826521456739194,0.32840207339960487,0.3232251535794225,0.29798487944925683,0.318896040465782,0.33623334143739053,0.3408768936388424,0.3440242586270194,0.3499597867901407,0.4061682322394277,0.3941865945832155,0.3974966739998471,0.4270550822253227,0.4197404207033274,0.44177548231826097,0.46816702428858936,0.49787595320216016,0.5008151763828883,0.5136544096806578,0.5161618915540211
Atlantic Operations Percentages,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.08473641474682818,0.0834272946878892,0.09700456332400954,0.1030204687262463,0.10822336663846678,0.11540196178107016,0.12482959847954725,0.1313998513369517,0.12530345951617683,0.1333730366277531,0.14066543865314868,0.136160000760271,0.1582522386432014,0.17425439044685478,0.1959784323955903,0.20657160137903144,0.20539940292826472,0.21667001469326394,0.2287043499230853,0.22850356028138993,0.22642343177898253
,Sum of Total Rev (000),0.08632605786692381,0.08651343475345487,0.10066561158706988,0.10540101366943827,0.10983685875331259,0.11688936273231777,0.1293798880351411,0.1352877967685334,0.13146220527374453,0.12914490634423462,0.12586850533114766,0.12017647382242727,0.13766537280936486,0.15048923648116583,0.1555905599026067,0.16243008954228974,0.16464883783037182,0.17396497964769422,0.1862847331507466,0.1881830985575985,0.18665777942394898
,Sum of RPM,0.09978829405425686,0.09629926673022718,0.11054977508117898,0.11948200239968913,0.1354496937765407,0.14239248697317786,0.1526727451003457,0.14628903741603744,0.14101349294338006,0.13903463323867857,0.14086722780475194,0.13490250178319757,0.14531299900142544,0.16721725029501747,0.17853211345603123,0.1826654175751497,0.18580210021616808,0.21197324305117715,0.2144790208631022,0.2119959874427317,0.20494283022124726
,Sum of ASM,0.08994800310268322,0.08754548688858997,0.1006422207367286,0.11206846093526937,0.12527163344461414,0.1337300054879829,0.145651298600365,0.13759582582537822,0.1349451832130213,0.13395615509739778,0.13939944168995272,0.1334536821948117,0.1437526481720126,0.16661742110181504,0.1795937054080686,0.18794941383084737,0.19569826876286817,0.22056345074515696,0.22120249638137454,0.22033058224786592,0.21544742675757525
,Sum of AC Op Expense (000),0.0781347602067535,0.07711076683014814,0.08074170090814498,0.08452685531660659,0.09289657534323359,0.10310807478045572,0.12124319132998145,0.12107458881266173,0.13076036085766857,0.13441938442062099,0.14150284686651587,0.13337913732348547,0.1423435277649765,0.1692142748499511,0.17597681337653298,0.19028857126019802,0.19292009902531976,0.24078492792322462,0.22127194912973547,0.22305285538879427,0.21365112045821358
Latin America Operations Percentages,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.04516650216720177,0.04519901464112565,0.047222635701037276,0.046761649331079444,0.042976917955181944,0.04151396216269089,0.042299975144788844,0.034874871795049875,0.03291672305252657,0.02988363069812546,0.032985822414863544,0.03539659076051867,0.033521600952625304,0.03568129883013081,0.030148526790264956,0.03600261444538337,0.04789987164877547,0.10124680097703298,0.10124885366291192,0.10471051325642923,0.10292647799206706
,Sum of Total Rev (000),0.04606223624534828,0.04599445637118031,0.047537421723506265,0.04749523977246812,0.043801697373379786,0.04223010581813517,0.04220839342965279,0.035147960910922926,0.03226890169221963,0.026699413272986236,0.028533090956079102,0.03025645319953973,0.028784841848713962,0.030017520168750218,0.02424562806653953,0.0282152713704482,0.03681888934812574,0.08549833325542733,0.08516393530511482,0.08978883722886062,0.08892578655801028
,Sum of RPM,0.04501817216038552,0.04548180417888183,0.044604278083409964,0.047170736847634925,0.0454263578236144,0.044621485357013525,0.0427123955731475,0.036436600879074764,0.03579754748706351,0.029965522187368275,0.035154265331241025,0.03859215293476317,0.03436425280256806,0.03462314898042839,0.03064824681705093,0.03271928683503764,0.042996600501233925,0.08741068036764736,0.08855084402805541,0.09489442850470982,0.09867489143192434
,Sum of ASM,0.050397583157140734,0.051164769669423994,0.049082438829206,0.055792331839047186,0.05088631085161073,0.04627746263615893,0.04447970186400752,0.041064614707054234,0.03722319794870569,0.03055890752256353,0.03679032024547313,0.03940911710576125,0.03567722536952104,0.03620141345921054,0.032653950592710056,0.03462148887481643,0.04637906222471843,0.09043093776312436,0.09173671967392269,0.0962687490162112,0.10126351007670752
,Sum of AC Op Expense (000),0.04357984817205746,0.04566445854540847,0.043016269842050384,0.043620986853201225,0.04102660109345976,0.04067384134782777,0.04080535623787986,0.03728666849402022,0.03608374198168921,0.03021735483709587,0.036333302867205874,0.038225743114798566,0.035124815031974226,0.035496251755755166,0.033614980595628785,0.03618872507332082,0.04596009224073251,0.09115542508608418,0.09173418022706052,0.09745535784282283,0.10378348045185064
Pacific Operations Percentages,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.22061711786190918,0.20508834426242395,0.1968407062597168,0.1532760309602008,0.1388765066013046,0.1529512484346082,0.1553654915357498,0.16848391992614423,0.15387995457489206,0.1886733009482947,0.21114165450530936,0.2062888090988312,0.2180625097713407,0.21196417774244003,0.19753862431757696,0.22787342651564915,0.22900634604970874,0.1935182076083237,0.18372711066489425,0.17693451724330717,0.16733902110986507
,Sum of Total Rev (000),0.22402783099372994,0.21068859979399082,0.2049125521302484,0.1622697701076264,0.14979082693033072,0.1635421968953944,0.1655040050364979,0.17839861893137063,0.1583796776304402,0.17630343320296724,0.18881841897616028,0.18148172074700658,0.18947853703513984,0.18299513846942034,0.1607121309684473,0.18166293404436062,0.1817472120923874,0.15842914897870605,0.15133466168714424,0.1482569904465929,0.14520885195662356
,Sum of RPM,0.2334577317728096,0.23603790771465805,0.22670208460257632,0.1999037848450209,0.1769978951358932,0.19418880258866125,0.19904849770981883,0.20275391685489239,0.1818197362310389,0.20065773057644534,0.22598127926360792,0.22263826741317275,0.22513842899025008,0.21755769511844844,0.2131096020072228,0.2255434594080807,0.2306865102804152,0.1771815081581243,0.17663486051905805,0.1776486807143111,0.1778447773778685
,Sum of ASM,0.22684415673834987,0.2296801957260784,0.22721600498474925,0.20010666584463946,0.173792718330512,0.19302736133555087,0.19818583645846966,0.18720771182333176,0.1781324629307943,0.19297244540876887,0.22583350283191617,0.22053163380433702,0.22881428169643056,0.22750452465244797,0.22286218218795278,0.2235758404919026,0.23415808228110968,0.17756179716290202,0.17805415845398814,0.18226935199067934,0.18154728307392906
,Sum of AC Op Expense (000),0.20729669061635128,0.20548998919183534,0.2046441026494095,0.19507731140961468,0.16406170301256345,0.17511412433749854,0.17418479386952923,0.18251563633216042,0.17718015578766164,0.1853230475324239,0.22833208250570597,0.22258171414493147,0.2200283312028964,0.22234455561961644,0.21014862673116563,0.21529818598474215,0.22928683302253708,0.16593560019285136,0.1878090470260923,0.1931461964490407,0.19872729064395694
Domestic Operations Percentages,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.6494799652240608,0.6662853464085612,0.6589320947152364,0.6969418509824735,0.7099232088050467,0.6901328276216308,0.6775049348399141,0.6652413569418542,0.6878998628564046,0.6480700317258268,0.6152070844266784,0.6221545993803791,0.5901636506328326,0.5781001329805744,0.5763344164965678,0.529552357659936,0.517694379373251,0.4885649767213794,0.48631968574910855,0.4898514092188737,0.5033110691190853
,Sum of Total Rev (000),0.6435838748939979,0.656803509081374,0.6468844145591754,0.6848339764504673,0.696570616942977,0.6773383345541526,0.6629077134987083,0.651165623389173,0.6778892154035956,0.667852247179812,0.6567799847366129,0.6680853522310264,0.6440712483067813,0.6364981048806636,0.6594516810624065,0.6276917050429014,0.616785060729115,0.5821075381181724,0.5772166698569943,0.5737710737669479,0.5792075820614172
,Sum of RPM,0.6217358020125481,0.622181021376233,0.6181438622328347,0.633443475907655,0.6421260532639517,0.6187972250811473,0.605566361616688,0.6145204448499955,0.6413692233385175,0.6303421139975078,0.5979972276003991,0.6038670778688665,0.5951843192057564,0.5806019056061057,0.5777100377196951,0.559071836181732,0.5405147890021827,0.5234345684230511,0.5203352745897843,0.5154609033382473,0.5185375009689599
,Sum of ASM,0.6328102570018261,0.6316095477159076,0.6230593354493161,0.6320325413810439,0.6500493373732631,0.6269651705403073,0.6116831630771578,0.6341318476442358,0.6496991559074787,0.6425124919712698,0.5979767352326579,0.60660556689509,0.5917558447620358,0.5696766407865265,0.5648901618112686,0.5538532568024336,0.5237645867313038,0.5114438143288167,0.5090066254907146,0.5011313167452436,0.5017417800917882
,Sum of AC Op Expense (000),0.6709887010048378,0.671734785432608,0.6715979266003951,0.6767748464205775,0.7020151205507432,0.681103959534218,0.6637666585626095,0.6591231063611577,0.6559757413729806,0.6500402132098593,0.5938317677605723,0.6058134054167845,0.6025033260001529,0.5729449177746773,0.5802595792966726,0.5582245176817391,0.5318329757114106,0.5021240467978398,0.49918482361711164,0.48634559031934227,0.48383810844597885
Atlantic Operations Percentage of International,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.2417448543304914,0.24999589856197274,0.284414223153066,0.3399363094515845,0.37308523095780033,0.37242396764816504,0.38707444536424795,0.3925211613255591,0.40148479479368326,0.3789760709546849,0.36556140448574637,0.3603590265674401,0.38613519490782194,0.4130230987696224,0.46257812771804396,0.43909583721478357,0.42586980981343586,0.42365110880415013,0.44522700905252455,0.4479156943891802,0.45586566903635994
,Sum of Total Rev (000),0.24220581445704653,0.2520813500216345,0.2850783588648469,0.33443012823009144,0.3619849127553711,0.3622660366883138,0.38381147601443355,0.387828166716108,0.40812730141421044,0.38881764289445203,0.36672833673338123,0.3620704136747683,0.38677789348139285,0.4139984921722643,0.4568824781986932,0.43627845992796566,0.4296514069718605,0.4162912603503443,0.4406151327861866,0.44150710328539355,0.44358636578664024
,Sum of RPM,0.26380581240619316,0.25488202599298804,0.28950634583903456,0.32595792066597773,0.3784843658273964,0.37353475982300816,0.3870682676206682,0.37949882286003694,0.3931996418603109,0.37611704904285803,0.3504135729311,0.34054857409337025,0.35896089478629645,0.3987077016567671,0.4227713879155061,0.41427477889671993,0.4043701424310928,0.44479357713747814,0.44714361824225635,0.4375209119414403,0.4256672755068189
,Sum of ASM,0.24496327802688803,0.23764320260145436,0.26699751499800345,0.3045607928371743,0.35796941347195255,0.35849200912868845,0.3750836552814877,0.376080358291427,0.3852265430949965,0.3747156252705539,0.3467447133205728,0.3392363261002792,0.3521242039294345,0.38719120757551057,0.4127548716335133,0.4212726343888563,0.4109275860433618,0.45145974447574483,0.4505203285124803,0.44166048028986027,0.4324011489409338
,Sum of AC Op Expense (000),0.237483516357602,0.23490386251180906,0.2458623359843931,0.261510759235626,0.31174929249741595,0.3233281750060467,0.36059241124532543,0.355185672810489,0.3800905243703612,0.38409951512865625,0.3483848209554284,0.3383654826326881,0.35809992152294395,0.39623524433475843,0.41925152950878997,0.43073592554670476,0.4120753684403009,0.483624337296433,0.44182356998016853,0.43424693954728755,0.41392269354672606
Latin America Operations Percentage of International,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.1288556935014379,0.13544210346981658,0.1384552312584506,0.15429926396196367,0.14815703723879872,0.133973411394478,0.1311647206874041,0.10417915270672279,0.10546846712015952,0.08491357199465444,0.08572356995116807,0.09368008900590699,0.08179264968660384,0.0845729084538629,0.0711611420992867,0.07652841932909255,0.09931435504842406,0.19796610785076316,0.19710479622051472,0.20525492993345176,0.20722523010432164
,Sum of Total Rev (000),0.1292372398461177,0.13401785154640722,0.13462283649746362,0.15069911165409483,0.14435549033545045,0.13088045572374538,0.12521316897439908,0.1007583061406111,0.10017951349456257,0.08038414544818631,0.08313352860316962,0.09115733036464085,0.08087248279825433,0.08257871711754232,0.0711958530354179,0.07578469712499818,0.0960789509359378,0.20459410267994904,0.20143636050245473,0.21065871343458795,0.21132934617417357
,Sum of RPM,0.11901251136085284,0.12037988230382864,0.11680911650189889,0.1286861200041045,0.1269339616306823,0.11705446101884276,0.10828791314101725,0.09452278439227707,0.09981727675551226,0.08106285114438558,0.08744781813667891,0.09742223071776866,0.0848886405169528,0.08255437838949906,0.07257630906393042,0.07420548179935077,0.09357559171025893,0.1834180042778314,0.184609872973931,0.19584472988555096,0.20494823923049243
,Sum of ASM,0.13725215401071642,0.13888733910499712,0.1302126394023119,0.15162300505714615,0.14540995713412008,0.12405668045310317,0.11454487066921991,0.11223883369636303,0.10626065730767785,0.08548244857861607,0.09151291347968218,0.10017710925576741,0.08739188280289009,0.08412607097457576,0.075047603447997,0.07760112429978014,0.097386840483765,0.18509833754103316,0.18683901746252143,0.1929741277566822,0.20323500151259338
,Sum of AC Op Expense (000),0.13245699556566978,0.13910842976642498,0.13098659639005233,0.1349554215386357,0.13768014393645125,0.12754577099301465,0.1213602317469107,0.10938455844274765,0.10488720221561498,0.08634522015872702,0.08945382721558624,0.09697372675804897,0.08836505392240776,0.08311867305451394,0.08008516439589662,0.08191655381918632,0.09817028935468469,0.1830886277993646,0.18316972917954663,0.1897294289820493,0.20106769242376105
Pacific Operations Percentage of International,,,,,,,,,,,,,,,,,,,,,,
,Sum of Pax Rev (000),0.6293994521680707,0.6145619979682106,0.5771305455884834,0.5057644265864518,0.4787577318034009,0.49360262095735696,0.48176083394834796,0.5032996859677181,0.4930467380861572,0.5361103570506607,0.5487150255630855,0.5459608844266529,0.5320721554055742,0.5024039927765147,0.46626073018266934,0.4843757434561239,0.47481583513814,0.37838278334508674,0.35766819472696076,0.34682937567736805,0.3369091008593183
,Sum of Total Rev (000),0.6285569456968357,0.6139007984319583,0.5802988046376895,0.5148707601158137,0.49365959690917843,0.5068535075879408,0.4909753550111674,0.5114135271432809,0.491693185091227,0.5307982116573616,0.5501381346634492,0.5467722559605909,0.5323496237203528,0.5034227907101934,0.47192166876588887,0.4879368429470362,0.4742696420922016,0.37911463696970665,0.3579485067113587,0.3478341832800186,0.3450842880391862
,Sum of RPM,0.617181676232954,0.6247380917031834,0.5936845376590665,0.5453559593299178,0.49458167254192126,0.509410779158149,0.5046438192383145,0.525978392747686,0.5069830813841768,0.5428200998127564,0.5621386089322211,0.5620291951888611,0.5561504646967508,0.5187379199537339,0.5046523030205635,0.5115197393039294,0.5020542658586482,0.37178841858469047,0.36824650878381265,0.3666343581730087,0.36938448526268863
,Sum of ASM,0.6177845679623956,0.6234694582935485,0.6027898455996846,0.5438162021056795,0.49662062939392737,0.5174513104182084,0.5103714740492924,0.5116808080122099,0.5085127995973256,0.53980192615083,0.5617423731997451,0.5605865646439534,0.5604839132676754,0.5286827214499137,0.5121975249184897,0.5011262413113635,0.49168557347287317,0.363441917983222,0.36264065402499823,0.3653653919534575,0.36436384954647283
,Sum of AC Op Expense (000),0.6300594880767282,0.6259877077217659,0.6231510676255546,0.6035338192257383,0.5505705635661328,0.5491260540009386,0.5180473570077638,0.5354297687467634,0.5150222734140238,0.5295552647126167,0.5621613518289854,0.5646607906092629,0.5535350245546483,0.5206460826107276,0.5006633060953134,0.487347520634109,0.4897543422050144,0.33328703490420236,0.3750067008402849,0.3760236314706632,0.3850096140295128
Yield - Pax Revenue / RPM,,,,,,,,,,,,,,,,,,,,,,
,Yield - Atlantic,0.0989375037306751,0.10576549685725767,0.10889081217732607,0.10518548678127403,0.09833115603966709,0.10600633049009014,0.09439760968154003,0.09454751179546005,0.09038606382174849,0.09951178611320659,0.10888472469064012,0.1193420955301822,0.13771490762655514,0.1394445831798244,0.12304086757140781,0.14832297971352318,0.15710002723755095,0.14723507595766883,0.15438811599694874,0.1602765068445393,0.15739884907872448
,Yield - Latin America,0.1168958418677206,0.1213249487013737,0.13138041940999007,0.12093498424623508,0.11643283774304469,0.121690267864741,0.114338139283084,0.10074923952954809,0.0935324697706838,0.10345249953501053,0.10231488271635268,0.10844924816601549,0.12335404784056567,0.13790280090559554,0.11025998018989248,0.14431928544656114,0.15831713871987774,0.16684389717560288,0.16554713561711937,0.16407941996420866,0.14860498157099852
,Yield - Pacific,0.11010357156320134,0.1060762250105835,0.10774976617305602,0.09353798736511079,0.09656256962823095,0.1030230794692731,0.09011572838310118,0.0874694141672718,0.08608750250810156,0.09754028704565815,0.10188047897089499,0.1095569600408968,0.12248049525250652,0.13037280768653103,0.10389782553517095,0.1325127310555218,0.14107596196866753,0.15732471550226296,0.15059865268886072,0.1481000200116522,0.13405068000240805
,Yield - Domestic,0.12171114392019533,0.1307381501429392,0.1322842183198438,0.13422192677271752,0.13606274107235417,0.1458780715264236,0.12916821509074378,0.11394884221989371,0.10909784934230889,0.10665349529494485,0.11217902935919159,0.1218206972885155,0.1253881616129602,0.13323662075598036,0.11182067066595405,0.12423256454404358,0.136111108505031,0.13444772144956993,0.135320265781899,0.1413100889030643,0.138283137547752
,Yield - International,0.10796626311404169,0.10783266555251168,0.11084038195915548,0.10086019528415799,0.09975416378505145,0.10632250509919443,0.09439610308704861,0.0914107899547432,0.08852083163482702,0.09876106225809356,0.10437284939896892,0.11278135821723988,0.12802320824145885,0.13461142835288523,0.11245269768828928,0.1399386293795948,0.1491689688400467,0.1545828979420773,0.15505272455817426,0.1565569689024615,0.14697211000090846
,Yield - Total,0.1165119476056225,0.12208402335010145,0.12409575778824025,0.12199296644056899,0.1230688472181763,0.13079937984087683,0.11545292443885426,0.10526088385877594,0.10171829750049759,0.10373599518312616,0.10904092337333186,0.11823991748807695,0.12645486980780046,0.1338132124422805,0.11208756933337613,0.13115781087279385,0.14211100221624573,0.14404345052459974,0.14478523020248948,0.14869779836488237,0.14246655193906058
RASM - Pax Revenue / ASM,,,,,,,,,,,,,,,,,,,,,,
,RASM - Atlantic,0.07739548669880428,0.083372701835207,0.08588425841383412,0.08030776831206227,0.07549822017671595,0.0816411124694736,0.07000860783761356,0.0739209290128624,0.07220020962438778,0.08186128894974029,0.08962172736404685,0.09904213594887934,0.11517660202321843,0.11337291338751852,0.1001281824321885,0.12122829888596358,0.12491297367353432,0.11736021609407875,0.12550546247089653,0.1289470862913719,0.12499364165902996
,RASM - Latin America,0.07362813936793386,0.07728717282573642,0.08572859486811509,0.0732205102839728,0.07380787718532957,0.08486902853208254,0.0776830866756577,0.06573893574388709,0.06875997273592013,0.08040235129202507,0.07963072835178726,0.08718981239466787,0.09830235752339242,0.10684669992938861,0.0847167971253611,0.1146998023397069,0.12291580812303313,0.13375804453486068,0.13397542260810172,0.1352378644654215,0.12088766778367721
,RASM - Pacific,0.07990035096119912,0.07812084040276872,0.07719294519943133,0.06691602483135642,0.06983379137748054,0.07496503306581931,0.06403688210981869,0.06966466045362507,0.06716944515814417,0.08038746995334935,0.08303716040226182,0.09080416884013093,0.09970756989321941,0.100999312671049,0.0813307562426985,0.11241989650550675,0.116394837646046,0.13020508228010347,0.1252562344749532,0.12069582845432919,0.10962644589073182
,RASM - Domestic,0.08431975305104783,0.09229136151206535,0.09423513780453838,0.09633288097527488,0.09544066755804656,0.10413910845581219,0.09047616114999314,0.08120401023205774,0.08232764727031155,0.08293036488512642,0.09137428253893379,0.09956184552129202,0.10434223957505195,0.11000708161128389,0.09361591963157352,0.10546019317225928,0.1176339479801676,0.11412480171663125,0.11597827412663045,0.12153634244327938,0.11930649295098822
