united_airlines_atlantic_operations,column_b,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,RASM - International,0.07842587664888383,0.07925312370172029,0.08062495370211897,0.07195052987297701,0.07243935527936311,0.07858701098510519,0.06783988156125824,0.0708247406955336,0.06927643966848081,0.08094100505338574,0.08500859166425659,0.09323671075611124,0.10503178636281707,0.10628217979002695,0.08934359973000265,0.11630755863711044,0.12053023143305246,0.12506378968063722,0.12699760129742843,0.12714631966867973,0.11855991344539059
,RASM - Total,0.08215558208967423,0.08748819918812478,0.08910490596431525,0.08736096920500723,0.0873913430848368,0.09460728613348955,0.08168611266039451,0.07740656606392718,0.07775579823096351,0.08221919359630499,0.08881512671099638,0.09707357271603156,0.10462374302092017,0.10840416934682022,0.09175699121051054,0.11029970994667637,0.11901326072729551,0.119469111951429,0.12138869075904239,0.12433498439480402,0.11893450357550919
CASM Aircraft Operations - Expenses / ASM,,,,,,,,,,,,,,,,,,,,,,
,CASM - Atlantic,0.03342197501921224,0.036417319727859665,0.0337659141978229,0.030325877729867175,0.02995097257654862,0.03634116999736286,0.04301394929488866,0.045087463457945114,0.04555345233469753,0.048838363336492,0.056206273648808903,0.060388568936389664,0.06317417994105129,0.08753060977746456,0.05650237539160671,0.0683748723638991,0.07790343914200769,0.08845746013829318,0.08058759690526672,0.08038054346076823,0.06256221412530111
,CASM - Latin America,0.033270195708284905,0.03690064934667465,0.03688649954743041,0.031435693715075846,0.032563309575443296,0.041426738341130274,0.04740472447516855,0.04652580422193403,0.04557224882106983,0.04812608050218355,0.05468295323707114,0.05860796292454328,0.06281172435758998,0.08450848835641826,0.05936076669825433,0.07059148883251914,0.07831141417463398,0.08167783184993395,0.08056007198577132,0.08037820906152114,0.06465818369919517
,CASM - Pacific,0.03515961613474632,0.03699080982088518,0.03790715088712792,0.03919649926340443,0.03812761196457708,0.04275997007810512,0.04541548386496459,0.0499556255378552,0.0467600083013841,0.046740785415873176,0.05598339312670339,0.0609840106688323,0.06134980956470852,0.08423252630648047,0.05437415810918867,0.06503397466413902,0.07738131418890652,0.07572316417551272,0.08497599447078989,0.08413766276673162,0.06905831931904197
,CASM - Domestic,0.04079632566268497,0.04397196480438321,0.045367073895312686,0.04305333960724409,0.04361783571253756,0.051204140368138557,0.05607318537003059,0.05325924814364076,0.04746549885125813,0.049240280836006296,0.0549869700875632,0.06034341474161699,0.0649582976012208,0.08668178072719901,0.059232583556440205,0.06806737339381301,0.08024265110143,0.07955212857456764,0.07900777033492612,0.07705687137765395,0.060837036753190944
,CASM - International,0.03447463084768712,0.036842001650162846,0.03666854927721341,0.03531813907729006,0.03439152018678764,0.04029348523740062,0.044742564808561425,0.04773984625433596,0.046168998814185166,0.0476451990539333,0.05594166872634016,0.060543989608635114,0.062119974017397966,0.08553273083129499,0.05562682318434393,0.06687267278711886,0.07768644923444137,0.0825743852640928,0.08217386553963549,0.08175281434994891,0.06535513440027207
,CASM - Total,0.038475064168253026,0.04134535445323106,0.04208824624515586,0.040207037526328905,0.040389080480698024,0.04713408599215021,0.05167331463322796,0.0512398747722919,0.047011333793905485,0.048670059024631,0.05537078115119325,0.06042231977772267,0.06379956858745106,0.0861873177160897,0.05766368174439006,0.06753436160904026,0.07902529724890647,0.08102867077492128,0.08056230210350404,0.07939953026488215,0.06308821604419707
Load Factor - RPM/ASM,,,,,,,,,,,,,,,,,,,,,,
,L.F. - Atlantic,0.7822664185007951,0.7882788273356078,0.7887190544044587,0.7634871574921428,0.7677955107764596,0.7701531794566335,0.7416353875251159,0.7818389676164054,0.798798028939226,0.8226290788973808,0.8230881569354865,0.8299010965818938,0.8363408436183658,0.8130320361122635,0.8137798798767268,0.8173264798219985,0.7951174539559653,0.7970941389524646,0.812921782615554,0.8045289283503322,0.79412042966409
,L.F. - Latin America,0.6298610642733682,0.6370262147480417,0.6525218541172989,0.6054535066121886,0.6339094590154708,0.6974183722433305,0.6794153478685364,0.6525005652733185,0.7351454837501983,0.7771909973505783,0.778290765113296,0.803968804478908,0.79691229630703,0.7747971703818615,0.7683367707799305,0.794764206216765,0.7763897776128786,0.8016957575264536,0.8092886784701772,0.8242219803977945,0.8134832796700097
,L.F. - Pacific,0.7256835525570116,0.736459469546304,0.7164093987494355,0.7153887603991335,0.72319731803268,0.727652808011605,0.7106071632421839,0.7964459476132094,0.7802461820962104,0.8241463336653947,0.8150448568855249,0.8288306722478829,0.8140689641045432,0.774696153770748,0.7827955573061233,0.8483705347405729,0.8250508167500348,0.8276200078571291,0.8317221451757251,0.8149615945010209,0.8177985064213215
,L.F. - Domestic,0.6927858069129263,0.7059252514370208,0.7123687088409265,0.717713441399173,0.7014460153150525,0.7138777430091606,0.7004522055710954,0.7126356762392867,0.754622091696764,0.7775681861694893,0.8145397857415752,0.8172818555248748,0.832153835201194,0.8256519940772078,0.837196907101691,0.8488933119856105,0.8642494302793777,0.8488414715115749,0.8570650778469293,0.8600684026648,0.8627696410908324
,L.F. - International,0.7263924339591601,0.734963967510625,0.7273969313082045,0.713368932811081,0.72617876317879,0.7391380678228642,0.7186724805652072,0.7747962875126493,0.7826004160722906,0.8195639374742807,0.8144703546351238,0.826703209022526,0.8204120784469119,0.7895479684786282,0.7944993901138472,0.8311326125798818,0.8080114273786831,0.8090402712433236,0.8190607527814203,0.8121409130493241,0.806683073711453
,L.F. - Total,0.7051258156610684,0.7166228371851252,0.7180334570047578,0.7161148036150646,0.7101012568185474,0.7233007239681369,0.7075274451246732,0.7353782642351767,0.7644229223418053,0.7925811426512335,0.8145118728214832,0.8209881635431642,0.8273603316340324,0.8101155885004978,0.8186187973940496,0.8409694337888337,0.8374669017265594,0.8293963489233831,0.8384052060370673,0.8361588790286215,0.8348240478676208
Sum of RPM,,,,,,,,,,,,,,,,,,,,,,
,RPM - Atlantic,11157498000,11237956000,13423768000,14888689000,16994339000,18074430000,17807167000,16008364168,14720986220,16021187663,16097060492,15847157632,17059641839,18404221530,17938137495,18727597068,18512611558,38027555347,38297623893,37945009345,37632598616
,RPM - Latin America,5033558000,5307647000,5416180000,5877960000,5699466000,5663978000,4981811000,3987245977,3737055173,3452976019,4017118420,4533466191,4034338627,3810684022,3079403782,3354513560,4284017040,15681292779,15811741896,16985085519,18119163177
,RPM - Pacific,26103304000,27545211000,27527837000,24910072000,22207228000,24649137000,23216258000,22187298480,18980920022,23122117725,25823141259,26153582565,26431090055,23944778481,21412334556,23123627259,22984722732,31785991057,31540126523,31797209613,32656722442
,RPM - Domestic,69517332000,72607437000,75059581000,78933586000,80565024000,78546329000,70630952000,67246782422,66955206212,72635350380,68333832480,70936985195,69874212105,63902055994,58045815334,57318304795,53854828974,93903064060,92911672966,92261976418,95216376295
,RPM - International,42294360000,44090814000,46367785000,45676721000,44901033000,48387545000,46005236000,42182908625,37438961415,42596281407,45937320171,46534206388,47525070521,46159684033,42429875833,45205737887,45781351330,85494839183,85649492312,86727304477,88408484235
,RPM - Total,111811692000,116698251000,121427366000,124610307000,125466057000,126933874000,116636188000,109429691047,104394167627,115231631787,114271152651,117471191583,117399282626,110061740027,100475691167,102524042682,99636180304,179397903243,178561165278,178989280895,183624860530
Sum of ASM,,,,,,,,,,,,,,,,,,,,,,
,ASM - Atlantic,14263041000,14256321000,17019708000,19500903000,22133939000,23468617000,24010676000,20475270268,18428921563,19475591216,19556909374,19095236405,20397953740,22636526868,22042984766,22913239116,23282864017,47707734242,47111080933,47164257254,47389032205
,ASM - Latin America,7991537000,8331913000,8300381000,9708359000,8990978000,8121349000,7332497000,6110716510,5083422609,4442892456,5161462271,5638858331,5062462514,4918298837,4007882870,4220765774,5517868941,19560154375,19537826633,20607416355,22273553286
,ASM - Pacific,35970643000,37402209000,38424729000,34820329000,30707011000,33874860000,32671016000,27857883572,24326834860,28055840062,31683092091,31554795739,32467875844,30908606380,27353674093,27256518599,27858554001,38406503897,37921470176,39016819722,39932479927
,ASM - Domestic,100344625000,102854285000,105366196000,109979250000,114855630000,110027704000,100836219000,94363480056,88726803719,93413480222,83892565687,86796231576,83967902507,77395871932,69333528160,67521211424,62313988401,110624972049,108406788898,107272835663,110361296643
,ASM - International,58225221000,59990443000,63744818000,64029591000,61831928000,65464826000,64014189000,54443870350,47839179032,51974323734,56401463736,56288890475,57928292098,58463432085,53404541729,54390523489,56659286959,105674392514,104570377742,106788493331,109595065418
,ASM - Total,158569846000,162844728000,169111014000,174008841000,176687558000,175492530000,164850408000,148807350406,136565982751,145387803956,140294029423,143085122051,141896194605,135859304017,122738069889,121911734913,118973275360,216299364563,212977166640,214061328994,219956362061
Sum of Pax Rev,,,,,,,,,,,,,,,,,,,,,,
,Pax Rev - Atlantic,1103895,1188588,1461725,1566074,1671073,1916004,1680954,1513551,1330572,1594297,1752724,1891233,2349367,2566369,2207124,2777733,2908331.7800000003,5598990,5912698,6081693.550000001,5923327.71
,Pax Rev - Latin America,588402,643950,711580,710851,663605,689251,569611,401712,349536,357219,411011,491651,497652,525504,339535,484121,678233.32,2616328,2617588.58,2786902.98,2692597.91
,Pax Rev - Pacific,2874067,2921892,2966118,2330038,2144387,2539430,2092150,1940710,1634020,2255338,2630874,2865307,3237293,3121748,2224695,3064175,3242591.87,5000722,4749900.5600000005,4709167.38,4377655.85
,Pax Rev - Domestic,8461034,9492562,9929198,10594618,10961898,11458187,9123274,7662693,7304669,7746814,7665623,8641593,8761399,8514094,6490722,7120800,7330240.470000001,12625053,12572832.280000001,13037548.09,13166819.26
,Pax Rev - International,4566364,4754430,5139423,4606963,4479065,5144685,4342715,3855973,3314128,4206854,4794609,5248191,6084312,6213621,4771354,6326029,6829156.970000001,13216040,13280187.14,13577763.91,12993581.47
,Pax Rev - Total,13027398,14246992,15068621,15201581,15440963,16602872,13465989,11518666,10618797,11953668,12460232,13889784,14845711,14727715,11262076,13446829,14159397.440000001,25841093,25853019.42,26615312,26160400.73
Sum of Aircraft Expense,,,,,,,,,,,,,,,,,,,,,,
,Expense - Atlantic,476699,519177,574686,591382,662933,852877,1032794,923178,839501,951156,1099221,1153134,1288624,1981389,1245481,1566689.8,1813815.1800000002,4220105,3796568.8000000003,3791088.63,2964762.78
,Expense - Latin America,265880,307453,306172,305189,292776,336441,347595,284306,231663,213819,282244,330482,317982,415638,237911,297950.14,432112.12,1597631,1573968.7200000002,1656387.22,1440167.5000000002
,Expense - Pacific,1264714,1383538,1456572,1364835,1170785,1448488,1483770,1391658,1137523,1311352,1773727,1924338,1991898,2603510,1487333,1772599.74,2155731.52,2908262,3222414.64,3282784.0199999996,2757669.9499999997
,Expense - Domestic,4093692,4522705,4780156,4734974,5009754,5633874,5654208,5025728,4211462,4599706,4612998,5237581,5454412,6708812,4106804,4595991.510000001,5000239.629999999,8800452,8564978.680000002,8266109.100000001,6714054.259999999
,Expense - International,2007293,2210168,2337430,2261406,2126494,2637806,2864159,2599142,2208687,2476327,3155192,3407954,3598504,5000537,2970725,3637239.6799999997,4401658.82,8725998,8592952.16,8730259.87,7162600.23
,Expense - Total,6100985,6732873,7117586,6996380,7136248,8271680,8518367,7624870,6420149,7076033,7768190,8645535,9052916,11709349,7077529,8233231.19,9401898.45,17526450,17157930.840000004,16996368.97,13876654.489999998
RPM Percentage,,,,,,,,,,,,,,,,,,,,,,
,RPM - Atlantic,0.09978829405425686,0.09629926673022718,0.11054977508117898,0.11948200239968913,0.1354496937765407,0.14239248697317786,0.1526727451003457,0.14628903741603744,0.14101349294338006,0.13903463323867857,0.14086722780475194,0.13490250178319757,0.14531299900142544,0.16721725029501747,0.17853211345603123,0.1826654175751497,0.18580210021616808,0.21197324305117715,0.2144790208631022,0.2119959874427317,0.20494283022124726
,RPM - Latin America,0.04501817216038552,0.04548180417888183,0.044604278083409964,0.047170736847634925,0.0454263578236144,0.044621485357013525,0.0427123955731475,0.036436600879074764,0.03579754748706351,0.029965522187368275,0.035154265331241025,0.03859215293476317,0.03436425280256806,0.03462314898042839,0.03064824681705093,0.03271928683503764,0.042996600501233925,0.08741068036764736,0.08855084402805541,0.09489442850470982,0.09867489143192434
,RPM - Pacific,0.2334577317728096,0.23603790771465805,0.22670208460257632,0.1999037848450209,0.1769978951358932,0.19418880258866125,0.19904849770981883,0.20275391685489239,0.1818197362310389,0.20065773057644534,0.22598127926360792,0.22263826741317275,0.22513842899025008,0.21755769511844844,0.2131096020072228,0.2255434594080807,0.2306865102804152,0.1771815081581243,0.17663486051905805,0.1776486807143111,0.1778447773778685
,RPM - Domestic,0.6217358020125481,0.622181021376233,0.6181438622328347,0.633443475907655,0.6421260532639517,0.6187972250811473,0.605566361616688,0.6145204448499955,0.6413692233385175,0.6303421139975078,0.5979972276003991,0.6038670778688665,0.5951843192057564,0.5806019056061057,0.5777100377196951,0.559071836181732,0.5405147890021827,0.5234345684230511,0.5203352745897843,0.5154609033382473,0.5185375009689599
,RPM - International,0.378264197987452,0.377818978623767,0.38185613776716526,0.36655652409234496,0.3578739467360483,0.3812027749188526,0.394433638383312,0.3854795551500046,0.35863077666148246,0.36965788600249216,0.40200277239960086,0.3961329221311335,0.40481568079424357,0.4193980943938943,0.42228996228030496,0.44092816381826805,0.4594852109978172,0.4765654315769488,0.47966472541021565,0.48453909666175266,0.4814624990310401
ASM Percentage,,,,,,,,,,,,,,,,,,,,,,
,ASM - Atlantic,0.08994800310268322,0.08754548688858997,0.1006422207367286,0.11206846093526937,0.12527163344461414,0.1337300054879829,0.145651298600365,0.13759582582537822,0.1349451832130213,0.13395615509739778,0.13939944168995272,0.1334536821948117,0.1437526481720126,0.16661742110181504,0.1795937054080686,0.18794941383084737,0.19569826876286817,0.22056345074515696,0.22120249638137454,0.22033058224786592,0.21544742675757525
,ASM - Latin America,0.050397583157140734,0.051164769669423994,0.049082438829206,0.055792331839047186,0.05088631085161073,0.04627746263615893,0.04447970186400752,0.041064614707054234,0.03722319794870569,0.03055890752256353,0.03679032024547313,0.03940911710576125,0.03567722536952104,0.03620141345921054,0.032653950592710056,0.03462148887481643,0.04637906222471843,0.09043093776312436,0.09173671967392269,0.0962687490162112,0.10126351007670752
,ASM - Pacific,0.22684415673834987,0.2296801957260784,0.22721600498474925,0.20010666584463946,0.173792718330512,0.19302736133555087,0.19818583645846966,0.18720771182333176,0.1781324629307943,0.19297244540876887,0.22583350283191617,0.22053163380433702,0.22881428169643056,0.22750452465244797,0.22286218218795278,0.2235758404919026,0.23415808228110968,0.17756179716290202,0.17805415845398814,0.18226935199067934,0.18154728307392906
,ASM - Domestic,0.6328102570018261,0.6316095477159076,0.6230593354493161,0.6320325413810439,0.6500493373732631,0.6269651705403073,0.6116831630771578,0.6341318476442358,0.6496991559074787,0.6425124919712698,0.5979767352326579,0.60660556689509,0.5917558447620358,0.5696766407865265,0.5648901618112686,0.5538532568024336,0.5237645867313038,0.5114438143288167,0.5090066254907146,0.5011313167452436,0.5017417800917882
,ASM - International,0.3671897429981738,0.36839045228409234,0.37694066455068387,0.367967458618956,0.34995066262673685,0.3730348294596927,0.3883168369228422,0.3658681523557642,0.35030084409252127,0.3574875080287302,0.402023264767342,0.39339443310490996,0.4082441552379642,0.43032335921347353,0.43510983818873145,0.4461467431975664,0.4762354132686963,0.4885561856711833,0.4909933745092854,0.4988686832547565,0.49825821990821184
Pax Rev Percentage,,,,,,,,,,,,,,,,,,,,,,
,Pax Rev - Atlantic,0.08473641474682818,0.0834272946878892,0.09700456332400954,0.1030204687262463,0.10822336663846678,0.11540196178107016,0.12482959847954725,0.1313998513369517,0.12530345951617683,0.1333730366277531,0.14066543865314868,0.136160000760271,0.1582522386432014,0.17425439044685478,0.1959784323955903,0.20657160137903144,0.20539940292826472,0.21667001469326394,0.2287043499230853,0.22850356028138993,0.22642343177898253
,Pax Rev - Latin America,0.04516650216720177,0.04519901464112565,0.047222635701037276,0.046761649331079444,0.042976917955181944,0.04151396216269089,0.042299975144788844,0.034874871795049875,0.03291672305252657,0.02988363069812546,0.032985822414863544,0.03539659076051867,0.033521600952625304,0.03568129883013081,0.030148526790264956,0.03600261444538337,0.04789987164877547,0.10124680097703298,0.10124885366291192,0.10471051325642923,0.10292647799206706
,Pax Rev - Pacific,0.22061711786190918,0.20508834426242395,0.1968407062597168,0.1532760309602008,0.1388765066013046,0.1529512484346082,0.1553654915357498,0.16848391992614423,0.15387995457489206,0.1886733009482947,0.21114165450530936,0.2062888090988312,0.2180625097713407,0.21196417774244003,0.19753862431757696,0.22787342651564915,0.22900634604970874,0.1935182076083237,0.18372711066489425,0.17693451724330717,0.16733902110986507
,Pax Rev - Domestic,0.6494799652240608,0.6662853464085612,0.6589320947152364,0.6969418509824735,0.7099232088050467,0.6901328276216308,0.6775049348399141,0.6652413569418542,0.6878998628564046,0.6480700317258268,0.6152070844266784,0.6221545993803791,0.5901636506328326,0.5781001329805744,0.5763344164965678,0.529552357659936,0.517694379373251,0.4885649767213794,0.48631968574910855,0.4898514092188737,0.5033110691190853
,Pax Rev - International,0.3505200347759391,0.3337146535914388,0.3410679052847636,0.30305814901752653,0.29007679119495333,0.30986717237836925,0.3224950651600859,0.3347586430581458,0.31210013714359547,0.3519299682741733,0.38479291557332157,0.37784540061962085,0.4098363493671674,0.4218998670194256,0.42366558350343225,0.470447642340064,0.4823056206267489,0.5114350232786206,0.5136803142508914,0.5101485907811263,0.4966889308809147
Aircraft Expense Percentage,,,,,,,,,,,,,,,,,,,,,,
,Expense - Atlantic,0.0781347602067535,0.07711076683014814,0.08074170090814498,0.08452685531660659,0.09289657534323359,0.10310807478045572,0.12124319132998145,0.12107458881266173,0.13076036085766857,0.13441938442062099,0.14150284686651587,0.13337913732348547,0.1423435277649765,0.1692142748499511,0.17597681337653298,0.19028857126019802,0.19292009902531976,0.24078492792322462,0.22127194912973547,0.22305285538879427,0.21365112045821358
,Expense - Latin America,0.04357984817205746,0.04566445854540847,0.043016269842050384,0.043620986853201225,0.04102660109345976,0.04067384134782777,0.04080535623787986,0.03728666849402022,0.03608374198168921,0.03021735483709587,0.036333302867205874,0.038225743114798566,0.035124815031974226,0.035496251755755166,0.033614980595628785,0.03618872507332082,0.04596009224073251,0.09115542508608418,0.09173418022706052,0.09745535784282283,0.10378348045185064
,Expense - Pacific,0.20729669061635128,0.20548998919183534,0.2046441026494095,0.19507731140961468,0.16406170301256345,0.17511412433749854,0.17418479386952923,0.18251563633216042,0.17718015578766164,0.1853230475324239,0.22833208250570597,0.22258171414493147,0.2200283312028964,0.22234455561961644,0.21014862673116563,0.21529818598474215,0.22928683302253708,0.16593560019285136,0.1878090470260923,0.1931461964490407,0.19872729064395694
,Expense - Domestic,0.6709887010048378,0.671734785432608,0.6715979266003951,0.6767748464205775,0.7020151205507432,0.681103959534218,0.6637666585626095,0.6591231063611577,0.6559757413729806,0.6500402132098593,0.5938317677605723,0.6058134054167845,0.6025033260001529,0.5729449177746773,0.5802595792966726,0.5582245176817391,0.5318329757114106,0.5021240467978398,0.49918482361711164,0.48634559031934227,0.48383810844597885
,Expense - International,0.32901129899516224,0.32826521456739194,0.32840207339960487,0.3232251535794225,0.29798487944925683,0.318896040465782,0.33623334143739053,0.3408768936388424,0.3440242586270194,0.3499597867901407,0.4061682322394277,0.3941865945832155,0.3974966739998471,0.4270550822253227,0.4197404207033274,0.44177548231826097,0.46816702428858936,0.49787595320216016,0.5008151763828883,0.5136544096806578,0.5161618915540211
